user_id,event_time,event_type,session_id,revenue,user_agent
1,2024-01-01 10:00:00,page_view,s1,0,Chrome
1,2024-01-01 10:05:00,purchase,s1,100,Chrome
1,2024-01-01 10:06:00,add_to_cart,s1,0,Chrome

2,2024-01-01 11:00:00,page_view,s2,0,Firefox
2,2024-01-01 11:10:00,purchase,s2,50,Firefox

3,2024-01-01 12:00:00,page_view,s3,0,Safari
3,2024-01-01 12:10:00,page_view,s3,0,Safari
3,2024-01-01 12:30:00,purchase,s3,30,Safari

4,2024-01-02 09:00:00,page_view,s4,0,Edge
4,2024-01-02 09:20:00,add_to_cart,s4,0,Edge

5,2024-01-02 10:00:00,page_view,s5,0,Chrome
5,2024-01-02 10:05:00,purchase,s5,200,Chrome
5,2024-01-02 10:06:00,purchase,s5,50,Chrome

6,2024-01-02 11:00:00,page_view,s6,0,Safari
6,2024-01-02 11:30:00,purchase,s6,10,Safari

7,2024-01-03 14:00:00,page_view,s7,0,Chrome
7,2024-01-03 14:05:00,add_to_cart,s7,0,Chrome
7,2024-01-03 14:15:00,purchase,s7,75,Chrome

8,2024-01-03 15:00:00,page_view,s8,0,Firefox
8,2024-01-03 15:10:00,purchase,s8,40,Firefox

9,2024-01-04 09:00:00,page_view,s9,0,Safari
9,2024-01-04 09:30:00,add_to_cart,s9,0,Safari

10,2024-01-04 10:00:00,page_view,s10,0,Chrome
10,2024-01-04 10:15:00,purchase,s10,60,Chrome
